,title,description
22,자녀 스마트폰 관리 어플로 한 후기,등을 스마트폰을 통해서 접하기 때문입니다. 단순 전화 기능만 가능한 스마트 기기를 쓰게 된다면 친구들에게 따돌림을 당할 수도 있고 아이들이 접해야 하는 세상 속 창구를 막아 버릴 가능성도 있습니다.... 
23,광주휴대폰복구 스마트폰 작동이 안되나요,맡아둔 스마트폰을 뒷주머니에 넣어놓고 깜빡하고 물에 들어갔다가 심지어 떨어트리고 파손까지 시키니까 성질이 확 올라오더라고요. 정말 제가 짜증 제대로 낼 뻔했는데 광주데이터복구에서 스마트폰복구... 
24,스마트폰 짐벌 dji 오즈모모바일 6 발빠른 사용 후기,"사용했음에도 스마트폰 짐벌 라인은 처음이였던 나에게 이 기계는 어떻게 다가왔을까? 글 / 사진 / 영상 Ben Moon 심플한 제품구성, 가벼운 무게로 스마트폰 짐벌 편의성 높여 제품 박스는 요렇게 화이트... "
25,스마트폰 터치 등산장갑 착용후기,바로 스마트폰 터치가 가능한 등산장갑이라 여러분들께 한번 소개를 해볼까해요 구입한지는 반년이... 단연 스마트폰의 터치 유무였을 거에요 아무래도 한번 착용을 하면 꼈다 뺐다 하는 것이 불편하게 느껴질수... 
26,"추억의스마트폰 LG G3, 삼성 갤럭시 A8",지금은 사라져버린 LG 스마트폰. 한때는 톡톡튀는 기능과 디자인으로 많은 사랑을 받았던 그 핸드폰. 처음이자 마지막으로 사용했던 LG 스마트폰 G3. 그리고 그 다음 사용하게된 삼성 갤럭시 A8. 두 스마트폰모두... 
27,핸드폰 스마트폰 짐벌 추천 피보 팟 오토트래킹 되니까.,저는 스마트마운트를 장착해서 사용하는 게 더 편리하더라구요. 안정적인 거치가 가능해서 이대로 써도 좋고 삼각대 연결하면 스마트폰 짐벌 추천 할 수 있는 조합이 되기 때문에 두루 활용이 가능합니다.... 
28,"조이트론 WM50C 무선 핀마이크, 스마트폰 마이크 추천 ♬","스마트폰만 있어도 다 할 수 있다고 하더라구요?ㅋㅋ 나의 컨텐츠를 잘 전달하려면? 일단, 또렷한... 심지어 뭐 어플같은거도 안깔아도 되고 그냥 스마트폰에 리시버 연결하고 마이크 전원켜주면 끝.. 진짜 완전... "
29,IT학원 스마트폰으로도 가능한 영상편집 배워봤어요!,"프리미어 영상편집 , 유튜브 크리에이팅 영상편집, 스마트폰을 이용한 생활영상제작, 에프터이펙트... 제가 수강한 과정은 스마트폰을 이용한 생활영상제작이에요~ 제대로 된 카메라가 있는 것은 아니고 또... "
30,유튜브 촬영장비 3만원 대 아이폰 8핀 스마트폰 무선마이크... ,"다만 한가지 아쉬운점이 있다면, 아이폰은 8핀이라 일반 스마트폰 마이크는 장착할 수 없다는 점. 저는... 싶은데, 스마트폰과 거리가 멀어서 음성 녹음이 잘 안 될 때가 있어요. 뷰맛집 캠핑장에서 멍 때리기... "
31,"[BP/IT] 손목이 아플 때 태블릿, 스마트폰 스탠드","BP's : 최근에 태블릿, 스마트폰 스탠드(거치대)를 몇 개 구입했는데 그 이유는 스마트폰이 무거운데 계속 손으로 들고 있다보니 팔목과 어께에 무리가 가는 것을 느꼈기 때문이다. 알리익스프레스나 쿠팡, 네이버... "
32,"강제 디지털 디톡스, 스마트폰 액정이 고장 나버린 하루",새 스마트폰을 주문하는 과정에서 인증을 해야 하는데 액정 나간 폰으로 뭘 하겠어요 (•̥̥̥⌓•̥̥̥) 다행히 유심을 다른 폰으로 옮겨서 간단하게 해결되긴 했습니다 강적은 바로 데이터 옮기기. 폰 자체가... 
33,라이카 M렌즈 교체형 스마트폰 샤오미 12S 울트라,단순한 브랜드 협업 이외에도 꽤 재미있는 스마트폰을 준비하고 있다는 것이 공개되어 화제입니다.... 물론 양산 버전은 아니지만 렌즈교체형 스마트폰 카메라의 가능성을 보여준 것만으로도 상당히 의미... 
34,"UXUI 디자이너의 컴퓨터, 노트북, 탭, 스마트폰","스마트폰 다수의 종을 사용합니다. © stux, 출처 Pixabay 데스크탑 조립용 데스크탑과 삼성 모니터를... 스마트폰 그리고 다양한 스마트폰이 있으며 종류는 대략 5종... 확인 용입니다. 아이폰 13, 아이폰 6, 갤럭시... "
35,아이폰 갤럭시 스마트폰 미러링 프로그램 심플한 Vysor,"스마트폰 화면 미러링 프로그램은 검색을 통해 다양한 종류를 볼 수 있지만 무료는 생각보다 많지... 오늘은 아이폰, 갤럭시 등에서 사용할 수 있는 스마트폰 무료 미러링 프로그램 Vysor에 대해 알아보도록... "
36,차량용 스마트폰 거치대 스마트키 폴딩키 딱이에요!,저 외에도 차 키 또는 스마트폰을 깜빡하고 외출하시는 분들이 많은가 봐요^^ 그리고 폴딩키나 스마트키 기판을 옮겨 사용하는 DIY용 케이스 톡이기 때문에 배터리와 PCB 기판을 분해할 때 손상되지 않게 해야... 
37,갤럭시a13 가격 0원 요금도 저렴한 보급형 스마트폰,"월마다 내는 스마트폰 할부금이나 통신 요금도 가계 생활비 지출에 큰 몫을 차지하고 있습니다. 게다가 갤럭시S 시리즈나 갤럭시 폴더블 시리즈, 아이폰 시리즈 등 프리미엄 최신 스마트폰이라고 할부금, 통신... "
38,스마트폰 리폼? 갤럭시S20 FE 후면 커버 셀프로 교체,비주입니다...^^ 세상에나 이 스마트폰이 둘째가 가지고 다니는 거에요. 도대체 어떻게 가지고 다니길래... 둘째가 가지고 다니는 스마트폰이 갤럭시S20 FE 모델인데요. 저는 여태까지 뒷면이 유리로 되어 있는지... 
39,솔잠 스마트 카본매트 좌우분리와 스마트폰 연동 후기!,스마트폰에 솔잠 스마트앱을 설치하고 어플을 연상태로 조절기 전원을 켜고 S버튼을 누르면 핸드폰에서 연결가능한 디바이스를 검색해서 블루투스 연결이 됩니다^0^ 스마트폰에서 좌우 온도 좌우 타이머를... 
40,"우리 아이, 스마트폰을 손에서 놓지 않는다면 &apos;이것&apos; 조심하세요!","급성 후천성 일치 내사시는 10년 전까지는 드문 질환이었지만, 최근 코로나19로 인해 스마트기기를 이용한 학습이 늘면서 청소년기의 아이들에게 발생이 늘었습니다. 스마트폰을 30cm이내로 1시간 이상 지속하여... "
41,"세도나 스마트폰 홀더 거치대 SSH-360 사용 후기, 흥미롭다.","세도나 스마트폰 홀더 거치대 SSH-360에 대해 이야기해 보겠습니다. 미리 언급하지만, 업체로부터 제품을 제공 받았습니다. 휴대폰을 활용해서 유튜브 또는 인스타그램을 촬영하는 분들은 이런 스마트폰... "
42,오즈모모바일6 핸드폰 스마트폰짐벌 추천,"추가되어서 스마트폰짐벌로 추천 소개합니다 오즈모모바일6 핸드폰짐벌 구성품으로 짐벌 본체, 세워서 영상을 찍을 수 있는 삼각대, 스마트폰 케이스에 부착하는 클램프, 보관용 파우치, 충전 케이블이... "
43,벤로코리아 BK10 스마트폰 삼각대 셀카봉 추천,스마트폰 삼각대 추천 셀카봉 추천 저는 워낙 운동영상도 매번 찍고 유튜브 영상도 찍어서 스마트폰 삼각대 종류별로 많이 사용했거든요 저가도 사용해보고 고가도 사용해봤는데 이번에 사용한 벤로코리아... 
44,스마트폰 카메라 대용량 보조배터리,것이 스마트폰을 가지고 다니는 중에 배터리가 없을 때에 당황스럽고 카메라 촬영 중에도 배터리가... 저 같은 사람에게 정말 딱이라고 생각이 되는 제품 100%에서 충전을 시작하고 스마트폰 카메라 등을... 
45,[교내 활동] 스마트폰 사용 줄이기 캠페인 구상,위한 스마트폰 다이어트 프로그램운영이 있다(스마트폰 다이어트라니!). 담임교사일 때 경험해본... 또 슬러지·큐레이션·스마트 공개·맞춤형 기본 설정 등 새롭게 등장한 선택 설계 아이디어들을 소개하고... 
46,"Type C 스마트폰, PC나 TV화면에 출력하기",이 컨버터를 사용하면 충전 단자가 Type C인 최신 스마트폰이나 애플 노트북과 같은 맥북을 커다란... 그러면 이제 이 컨버터를 이용해 스마트폰을 TV에 연결해 틀어보겠습니다. 별도의 HDMI 케이블... 
47,삼성 스마트폰 갤럭시 공장 초기화 방법 1분만에 해결,스마트폰을 사용하면서 초기화가 필요한 순간이 종종 있습니다. 새로운 단말기를 구매해 기존 스마트폰을 중고로 판매하는 순간이나 사용하면서 너무 느려졌다고 느껴진다면 포맷을 통해 다시 빠릿한 느낌을... 
48,스마트폰 밸류체인 (아이폰 &amp; 갤럭시 비교),"자화전자, 덕우전자, 비에이치 등 공부하기 전에 스마트폰 밸류체인 다시 한 번 복습 오래간만에 텔레그램 자료실에 올려 둔 자료를 꺼내옴 현재 스마트폰 비지니스쪽이 전반적으로 슬로우한 상황 아마... "
49,스마트폰MMORPG 카오스포털 CBT 일정 및 이벤트 소식,지난번에 스마트폰MMORPG 신작 카오스포털에 대해서 소개 드린 적이 있습니다. 거대한 포털을 타고... 단순히 혼자서만 성장하는 스마트폰MMORPG가 아니라 강해지는 루트가 다양하다고 할 수 있겠습니다.... 
50,스마트폰 sd 메모리 카드 인식 불량 저장장치 복구,요즘은 보통 스마트폰 사용할 때 SD 메모리 카드가 들어가는 걸 사용하지는 않는거 같아요 하지만 저는... 부득이하게 스마트폰을 바꿔야하는 일이 있으면 되도록 SD 메모리 카드가 들어갈 수 있는 모델을... 
51,태블릿 스마트폰 거치대로 딱인 카멜마운트 PAB2 사용후기,"스마트폰이나 태블릿PC거치대가 있었으면 하던 찰나, 카멜마운트 거치대 PAB2를 만나보게 되었답니다!... * 카멜마운트 공식쇼핑몰 및 스마트스토에서는 새제품만 판매해요! 더불어 독특하게 리퍼몰 전용몰을... "
52,안드로이드 스마트폰 스캔 어플 브이플랫 vFlat,스마트폰으로 할 수 있는 일이 참 많죠? 그중에서 오늘은 안드로이드 스캔 어플 알려드릴게요 편리하고 간단하게 스마트폰 스캔 가능한 브이플랫 vFlat 앱 예전에는 스캔 한번 하려면 스캐너가 있어야 했고 또... 
53,[서평이벤트(~22일)] 스마트폰 10분만요 / 조윤주 / 인성동화... ,서평단 모집 스마트폰 10분만요 날아라 꼬꼬 할머니 인성동화 어린이 &gt; 국내창작동화 발행일 2022년 11월... 이번에는 하루 종일 스마트폰 게임을 하고 싶어 하는 아이에게 출동했다! 가족들과 함께하는 외식... 
54,스마트폰 충전기 EP-TA21KWK,25 &quot;스마트&quot;가 붙은 스마트폰 액세서리HW + 앱마켓에 올라온 스마트폰 앱(SW)구성의 단점.. 마켓에서 앱이 없어지면 사용불가 (0) 2022.02.18 다이소 EARMAC 가정용 18W C타입 고속충전기 (5000원)... 
55,스마트폰 때문에 헤어지는 경우?,"스마트폰은 현대인의 필수품이죠. 24시간 몸에 붙어있다고 해도 과언이 아닙니다. 물론 사랑하는 연인과 연락하게 해주는 고마운 도구이기도 하지만 사실 이 스마트폰 때문에 싸우고, 연애가 깨지는 경우도 적지... "
56,리버티샵 유튜브 스마트폰 삼각대 (카메라 거치대 추천),오늘의 포스팅 #리버트샵 #유튜브스마트폰삼각대 #삼각대 입니다. 평소 가족사진을 찍거나 혼자 블로그 포스팅할 제품을 촬영할 때 자주 사용하는 #스마트폰삼각대 얼마전 기존 삼각대가 부숴져서 새로운... 
57,아이폰도 편리한 스마트폰무선마이크 COMS 소형마이크,아이폰도 사용하기 편리한 COMS 스마트폰무선마이크 요리할때 종종 동영상도 찍어보기 때문에 나름... COMS 스마트폰 소형마이크입니다 구성도 심플해요 마이크 수신부와 송신부 그리고 8핀젠더와 충전용USB 끝!... 
58,삼각대셀카봉 스마트폰짐벌 기능까지 한번에~MOZA NANO SE,#스마트폰셀카봉 #스마트폰삼각대 #삼각대셀카봉 #스마트폰짐벌 #MOZANANOSE #사진촬영 #사진잘찍는법 #수평맞추기 사진을 찍으면서 잘 찍고 싶은 마음은 누구나 같다. 사진을 잘 찍는다는 것은 쉽지 않은 일이지만... 
59,2022년 청소년 스마트폰 가족치유캠프에서 힐링하고 가요!,요즘 정보화로 인해서 스마트폰 없는 청소년들은 찾아보기 힘들거라고 생각해요. 그래서 인지 스마트폰 중독까지 와서 화면으로 들어갈 정도로 스마트폰을 사용하는 청소년들이 많아졌어요. 스마트폰... 
60,페어폰 벤치마킹? 노키아가 내놓은 착한 스마트폰,보급형 스마트폰 X30 5G를 선보였다고 전했다. HMD 글로벌은 이전 노키아 직원들이 설립한 회사다. 지난 2016년 노키아 스마트폰 사업부를 일부 인수했다. 이후부터 노키아 이름을 단 저가 스마트폰을... 
61,스마트폰이 바꾸고 있는 우크라이나 전쟁,‘스마트폰’을 활용한 국민 참여는 생각보다 전쟁 지원에 많은 도움이 되는 것으로 보인다. 지난 3월... 우크라이나 국민들은 전쟁 상황을 스마트폰으로 촬영해 러시아의 침공을 세계에 알리는 큰 역할을... 
62,"삼성 갤럭시 스마트폰, 크롬 모바일 앱 다크모드 설정 방법","삼성 갤럭시 스마트폰과 크롬 모바일 앱의 다크모드 적용 방법을 보여드릴게요. 눈의 피로를 줄여줄 수 있을 뿐 아니라, OLED 패널을 탑재한 스마트폰을 사용하고 있다면 다크모드 적용만으로 배터리 소모를... "
63,"usb없이 스마트폰 데이터(사진,동영상) pc로 옮기기 (삼성... ",안녕하세요 스마트폰에있는 사진이나 동영상등을 옮길때 다들 어떻게하시나요? 생각보다 회사 사업계획서나 포스팅이나 레포트를 할때 스마트폰에 있는 데이터를 예전에는 삼성... 
64,윈도우 스티커메모 스마트폰 원노트와 동기화 해두세요,"텐데요, 스마트폰에 원노트 앱 설치 후 동기화하면 윈도우 스티커 메모를 더 유용하게 활용할 수... 다음으로 스마트폰 앱스토어, 플레이스토어로 이동해서 Microsoft OneNote를 검색하고 설치합니다. 설치가... "
65,"인스타그램 스마트폰 앱, PC 버전 로그아웃 방법",인스타그램 스마트폰 앱의 경우 로그아웃 메뉴를 찾는 경로가 좀 복잡하게 되어 헷갈리는 분은... ▲ 스마트폰 앱에서는 [내 로그인 정보 저장] 옵션을 설정할 수 있습니다. 만약 로그인 정보를 저장하기... 
66,"중1 아들, 스마트폰 득템...ㅠ.ㅠ.",스마트폰도 아니고 전화만 잘 되면 크게 불편함이 없었기 때문에 그럭저럭 잘 쓰고 있었지요. 첫째의... 첫째의 핸드폰이 공신폰에서 스마트폰으로 탈바꿈되었거든요.ㅠ.ㅠ. 메인보드가 삭아서 전화가 안 되었던... 
67,착한 5G 보급형 스마트폰 모토로라 엣지 30 출시,본격적인 국내 출시를 선언한 모토로라에서 이번에는 꽤 매력적인 5G 스마트폰을 자급제로 출시하여 화제입니다. 모토로라 엣지30 이라는 모델로 쿠팡을 통해 자급제 스마트폰으로 50만원 중후반대에... 
68,농협 공동인증서 가져오기/내보내기 다른 스마트폰에 복사,"사용하기 위해서는 스마트폰 앱 설치 정보를 확인하며, 주의가 필요한 앱이 탐지되었을 경우 NH 스마트뱅킹 앱 이용이 제한된다는 내용에 동의해야 합니다. 4. 간편 비밀번호 (재)등록 진행 화면이 나타납니다.... "
69,포스트 스마트폰은 XR기기..?,"스마트폰도 세대가 발전 하면서 MP3 무너뜨리고.. 카메라 무너뜨리고... 불과 10년만에 세상을 이렇게... 프리젠테이션의 정석 지금에서 과거를 돌아보면 옛날에 스마트폰 없이 어떻게 살았나 싶고, 줄... "
70,세도나 스마트폰홀더 튼튼하고 견고해서 추천해요,실내에서 스마트폰을 이용해 촬영하는 경우에는 맥세이프 기능을 활용해 삼각대에 거치를 하는데요. 야외에서 촬영을 하게 될 때는 맥세이프로 고정하는 게 살짝 불안하더라구요. 그래서 튼튼하게 스마트폰... 
71,삼성 갤럭시 스마트폰 화면 스크롤 캡쳐 방법(스크롤 캡처),"삼성 갤럭시 스마트폰은 기본 스크린샷 기능 외에 스크롤 캡처 기능을 제공하고 있어 긴 화면을 한 번에 캡쳐하는 것도 가능한데, 갤럭시 스마트폰 스크롤 캡처 방법을 소개해 보겠다. *갤럭시 스마트폰 화면... "
72,인스타 브레인 스마트폰 시대 필독서,스마트폰 시대 필독서 몰입을 빼앗긴 시대 똑똑한 뇌 사용법이 궁금하다면? 인스타 브레인 저자 안데르스 한센 출판 동양북스 발매 2020.05.15. 스마트폰과 한 몸이 되어버렸어요. 스마트폰에 몸만 빼앗긴 게... 
73,주민등록증? 이제는 스마트폰으로 간편하게 확인 가능!,"이제 스마트폰으로 주민등록증 확인이 가능하다고?! 스마트폰ⓒ픽사베이(pixabay) / 예시ⓒ행정안전부(보도자료) 여러분께서도 신분증 확인이 필요한 순간, 주민등록증을 깜빡하고 지참하지 않아... "
74,"디지털 안내사의 도움으로, 어려웠던 스마트폰 사용은 이제 안녕!","스마트폰, 키오스크 사용이 더 이상 어렵지 않도록 도움을 주는 디지털 안내사를 소개합니다! 서울시에서 디지털 안내사를 찾아보세요! 디지털 안내사는 어르신들의 이용이 많은 거점을 돌며 다양한 스마트폰... "
75,미니 무선핀 아이마이크 M1 유튜브 강의용 스마트폰 추천,강의용으로 스마트폰에 연결해서 잡음 없는 소리를 녹음할 수 있는 추천 제품입니다 핸드폰으로... 아이마이크 스마트폰 무선마이크 M1은 어플 없이도 사용이 가능하고 360도 무지향성 사운드 픽업으로 주파수... 
76,"삼성 갤럭시 스마트폰, 문자앱 개선희망점","모바일, 통신/앱,프로그램 삼성 갤럭시 스마트폰, 문자앱 개선희망점 https://pcgeeks.tistory.com... (0) 2022.10.03 삼성전자 갤럭시 스마트폰 스크린샷 기능 개선희망점 (0) 2022.09.24 기상청... "
77,작년에도 올해도 예쁜 스마트폰터치장갑 추천,있는 스마트 터치 홀의 스무스한 터치감~ 내 손가락이 닿는거라 터치 잘되나요? 이런 질문 자체가 필요없는 스마트폰터치장갑 (๑˃̵ᴗ˂̵)و 수족냉증이 있는 나라 겨울 방한용품은 진짜 필수 중에 필수인데... 
78,스마트폰 메타마스크 지갑에서 NFT 불러오기,메타마스크 지갑은 PC버전과 스마트폰 버전을 비교해 보면 다른점을 발견 할 수 있습니다. ▲PC화면 ▲스마트폰화면 위 그림에서 왼쪽 PC번엔은 활동이라고 되어 있고 스마트폰 버전에는 NFT라는... 
79,[디자인팁] 스마트폰으로 꽃 사진 찍기 팁 5가지,오늘은 스마트폰으로 꽃 사진을 찍는 저만의 팁을 공유합니다. ^^ 예쁜 꽃을 보면 그냥 지나가는게... 가까워지도록 스마트폰을 돌려주세요. 위의 흑백사진을 보시면 기본적으로 스마트폰 그대로 들고 찍는... 
80,스마트폰 과의존 연령대가 점점 낮아지고 있다.,"스마트폰은 인터넷과 연결되어 SNS, 게임, 동영상 시청 등을 손쉽게 할 수 있도록 해 주는 매우 편리한 도구이다. 하지만 스마트폰으로 SNS나 게임을 하는 것을 멈출 수 없게 되어 수면 시간을 줄여가며... "
81,[해랑] 2022 해운대 행복한 가족 스마트폰 사진 공모전 참여방법,개최되는 스마트폰 사진 공모전 소식을 전해드리겠습니다. 2022 해운대 행복한 가족 스마트폰 사진 공모전 2022 해운대 행복한 가족 스마트폰 사진 공모전은 가족의 행복한 모습을 담은 사진을 주제로 부산... 
82,설악산 단풍/ 모녀 단풍여행 / 스마트폰 단풍 촬영,이번엔 스마트폰으로만 촬영했고 무보정이다. 보정할 필요가 없이 완벽하다. 딸이 먼저 설악산... #갤럭시s21 #스마트폰단풍촬영 #모녀단풍여행 #여행은발로하는독서 #여행은발로쓰는수필 #2022설악산단풍... 
83,스마트폰 터치장갑 매드고트 캐시미어 장갑 추천,벗고 폰 만질일이 없어요! 외출할 때 매드고트 스마트폰 터치장갑 여성 캐시미어 장갑 착용해본 모습이에요:-) 어떠한 데일리룩에도 잘 어우러지는 베이지/파스텔 그린 컬러 포인트! 예쁘다 예뻐 ☆ 스마트폰... 
84,초간편 차량용 스마트폰 거치대 끼움,"단순하지만 튼튼한 끼움 스마트폰 거치대 글,사진 조아맘 안녕하세요 조아맘입니다. 최근 핸드폰으로... 및 스마트폰 충전 관련 액세서리도 없습니다 . 하지만 무선 충전이나 잡다한 액세서리를 쓰지 않고... "
85,스마트폰 중독에 걸린 아이의 새로운 변신 스톱모션,스마트폰 과의존에서 벗어나 건강한 모습을 되찾아가는 아이의 모습을 보며 스마트폰을 스마트하게 사용하는 방법을 영상으로 확인해 보세요 아래 스톱모션을 영상으로 준비했습니다~ 스마트폰을 조금... 
86,지토스 스마트폰 거치대 사용 후기,"지토스 스마트폰 히든 스탠드 거치대 케이스 가격 : 14,900원 아이폰이 매년 출시되면서 디자인적인 면이... 색상도 클리어화이트, 딥오션블루, 매트블랙 이렇게 총 3가지 색상이기 때문에 본인의 폰, 취향에 맞는... "
87,스마트폰 활용교육 :정다혜 강사,오늘은 스마트폰 활용교육 강사과정 강의를 신청하고 배웠던 내용들을 올려 봅니다. 강사 : 정다혜 주제: 스마트폰 활용교육과정 시간 : 2022년 8월~10월까지 일시 : 매주 화요일 오후 9시 ~11시 10회차까지 진행... 
